Exercise,Primary Muscles,Secondary Muscles,Tertiary/Stabilizers,Notes
Pull-Up (Wide Grip),Latissimus Dorsi,Biceps Brachii,"Rhomboids, Posterior Deltoid","Focus on pulling elbows down/back, avoid shrugging"
Pull-Up (Narrow Grip),"Latissimus Dorsi, Biceps Brachii",Forearms,Rhomboids,"Pull close to chest, controlled motion"
Lat Pulldown (Wide Grip),Latissimus Dorsi,"Biceps Brachii, Teres Major","Rhomboids, Posterior Deltoid",Focus on elbows down/back
Lat Pulldown (Close Grip),"Latissimus Dorsi, Biceps Brachii",Forearms,Rhomboids,Pull bar to upper chest
Barbell Bench Press,Pectoralis Major,"Anterior Deltoid, Triceps Brachii",Serratus Anterior,"Control eccentric, shoulder blades retracted"
Dumbbell Bench Press,Pectoralis Major,"Anterior Deltoid, Triceps Brachii",Serratus Anterior,Allows more range of motion
Incline Bench Press,Upper Pectoralis Major,"Anterior Deltoid, Triceps Brachii",Serratus Anterior,Angle targets upper chest
Decline Bench Press,Lower Pectoralis Major,"Anterior Deltoid, Triceps Brachii",Serratus Anterior,Targets lower chest
Barbell Squat (Back Squat),"Quadriceps, Gluteus Maximus",Hamstrings,"Erector Spinae, Core","Keep knees aligned, controlled depth"
Front Squat,"Quadriceps, Gluteus Maximus","Hamstrings, Core",Erector Spinae,"Torso more upright, focus on quads"
Trap Bar Deadlift,"Quadriceps, Gluteus Maximus, Hamstrings",Erector Spinae,"Forearms, Traps",Neutral grip reduces stress on lower back
Barbell Deadlift,"Gluteus Maximus, Hamstrings, Erector Spinae","Traps, Forearms",Core,Classic hinge movement
Romanian Deadlift,"Hamstrings, Gluteus Maximus",Erector Spinae,Forearms,"Hinge at hips, back straight"
Dumbbell Shoulder Press,Anterior & Lateral Deltoid,Triceps Brachii,"Trapezius, Serratus Anterior",Press straight overhead
Barbell Shoulder Press (Overhead),Anterior & Lateral Deltoid,Triceps Brachii,"Trapezius, Core",Keep torso stable
Push-Up,Pectoralis Major,"Anterior Deltoid, Triceps Brachii","Core, Serratus Anterior","Body straight, elbows 45Â° to torso"
Dumbbell Row,"Latissimus Dorsi, Rhomboids","Biceps Brachii, Posterior Deltoid","Erector Spinae, Core","One arm at a time, squeeze shoulder blade"
Barbell Row,"Latissimus Dorsi, Rhomboids","Biceps Brachii, Posterior Deltoid","Erector Spinae, Forearms",Keep torso stable
Leg Curl (Machine),Hamstrings,Gastrocnemius,None,"Slow, controlled motion"
Leg Extension (Machine),Quadriceps,None,None,"Control motion, do not lock knees"
Butterfly (Machine),Pectoralis Major,Anterior Deltoid,Biceps Brachii (minor),Squeeze chest at end range
Reverse Butterfly (Machine),"Posterior Deltoid, Rhomboids",Trapezius,Rotator Cuff,"Control motion, avoid swinging"
Calf Raise,"Gastrocnemius, Soleus",None,Core (minor),"Full stretch at bottom, slow tempo"
Overhead Triceps Extension (Cable),Triceps Brachii (Long Head),Triceps Lateral & Medial Heads,Core,Keep elbows fixed overhead
Lateral Raise (Cable),Lateral Deltoid,Anterior & Posterior Deltoid,Trapezius,"Lead with elbow, avoid shrugging"
Preacher Curls,Biceps Brachii,Brachialis,Forearms,"Strict form, avoid momentum"
Weighted Crunches (Machine),Rectus Abdominis,Obliques (minor),Hip Flexors,"Control spine flexion, avoid neck pulling"
Seated Cable Row (Narrow),"Latissimus Dorsi, Rhomboids",Biceps Brachii,"Posterior Deltoid, Erector Spinae",Pull to lower chest/upper abs
Seated Cable Row (Wide),"Rhomboids, Upper Back","Posterior Deltoid, Biceps Brachii",Traps,Elbows flared to target upper back
Single Triceps Extension (Cable),Triceps Brachii,None,Forearms (minor),"Slow eccentric, full lockout"
Hip Thrusts,Gluteus Maximus,Hamstrings,Core,Full hip extension and glute squeeze
Leg Press,"Quadriceps, Gluteus Maximus",Hamstrings,Calves,Foot position changes emphasis
Bulgarian Split Squat,"Quadriceps, Gluteus Maximus",Hamstrings,Core,"Maintain balance, control depth"
Single Leg Kickback (Cable),Gluteus Maximus,Hamstrings,Core,"Keep back straight, focus on glute contraction"
Adductor Machine,Hip Adductors,None,Core (minor),Squeeze inner thighs together
Abductor Machine,Hip Abductors,Gluteus Medius,Core (minor),"Push legs apart, control return"
Box Jump,"Quadriceps, Gluteus Maximus","Hamstrings, Calves","Core, Erector Spinae","Explosive movement, land softly"
Kettlebell Swing,"Gluteus Maximus, Hamstrings",Erector Spinae,"Core, Shoulders","Hinge at hips, explosive hip drive"
Basketball Session,Full Body Cardiovascular,"Leg Muscles, Core",Upper Body (minor),"Dynamic sport, improves agility and endurance"
Soccer Session,Full Body Cardiovascular,"Leg Muscles, Core",Upper Body (minor),"Dynamic sport, improves agility and endurance"
Rest Day,N/A,N/A,N/A,Important for recovery and muscle growth
